BatteryId,Policy,Family,Candidate,SelectedFamily,Intercept,Coefficient,EstimatedT80,T80Status,ExtrapolationMultiple,time,loss,late_slope_loss
23,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0024330781135256,-4.440799698407782e-05,4558.4825225534605,finite_extrapolation,30.389883483689736,10.2880135787321,0.0037713335332979,4.9169590205041655e-05
23,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0009309388042158,-9.754589529189597e-06,2825.336964147938,finite_extrapolation,18.835579760986253,10.2880135787321,0.0037713335332979,4.9169590205041655e-05
26,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0005687690778002,-0.0284630047298379,2085.2555797964123,finite_extrapolation,13.901703865309416,10.156982147387,0.0038821253746199,3.340141248734633e-05
26,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0010071190193417,-3.37179781637329e-05,5961.4226583593,finite_extrapolation,39.74281772239533,10.156982147387,0.0038821253746199,3.340141248734633e-05
26,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0000291998462405,-7.765239708873356e-06,3378.709281074972,finite_extrapolation,22.52472854049981,10.156982147387,0.0038821253746199,3.340141248734633e-05
27,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0000485302930429,-0.0271910011418072,2123.118587515747,finite_extrapolation,14.154123916771647,10.2198757714701,0.00506541723202,4.194193703199271e-05
27,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.000630810706528,-3.334925072650145e-05,6016.051525472321,finite_extrapolation,40.107010169815474,10.2198757714701,0.00506541723202,4.194193703199271e-05
27,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.9995315921459133,-7.414513012685267e-06,3498.9942517718423,finite_extrapolation,23.32662834514561,10.2198757714701,0.00506541723202,4.194193703199271e-05
28,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.000475534618796,-0.030288655454532,2030.6231319683973,finite_extrapolation,13.53748754645598,10.2056660384171,0.005372885707525,4.1421977643298885e-05
28,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0011402447188862,-3.73097441752907e-05,5391.091500758567,finite_extrapolation,35.94061000505712,10.2056660384171,0.005372885707525,4.1421977643298885e-05
28,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.9998997969788084,-8.259417043408408e-06,3214.3292919870264,finite_extrapolation,21.428861946580177,10.2056660384171,0.005372885707525,4.1421977643298885e-05
29,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0011648430073148,-0.0249622580002277,2203.732230864568,finite_extrapolation,14.691548205763787,10.1844151334154,0.0025784610303329,3.692755523455632e-05
